"thesis_id","thesis_topic_in_english"
"21","PUSH NOTIFICATION DESIGN FOR SERVICE VEHICLE REMINDERS USING MOBILE APPLICATION"
"22","QOS ON THE MPLS NETWORK FOR VOICE AND VIDEO SERVICES"
"23","EVALUATION IT GOVERNANCE ON COMPANY XYZ"
"24","HYDROPONIC NUTRITION CONTROL SYSTEM WITH INTERNET OF THINGS USING K-NEAREST NEIGHBOR"
"25","IT PORTOFOLIO PLANNING WITH VAL IT FRAMEWORK FOR SCHOOL-BASED ICT (CASE STUDY : SMK NEGERI 1 SINGKAWANG)"
"26","DATA MINING WITH SUPPORT VECTOR MACHINE (SVM) CLASSIFICATION METHOD FOR CREDIT SCORING IN CREDIT UNION KHATULISTIWA BAKTI PONTIANAK"
"27","INTENSITY ANALYSIS OF USE AND EMPLOYEE SATISFACTION LEVEL OF VMWARE SYSTEM USING DELONE AND MCLEAN MODEL AT PT BANK MANDIRI TBK"
"28","FINGERPRINT IDENTIFICATION USING ARTIFICIAL NEURAL NETWORK WITH FEATURE EXTRACTION"
"29","STRATEGIC PLANNING OF INFORMATION SYSTEMS USING ZACHMAN FRAMEWORK (CASE STUDY: STMIK SENTRA PENDIDIKAN BISNIS)"
"30","DEVELOPMENT ARRHYTHMIA CLASSIFICATION MODEL USING ENSEMBLE DECISION TREE METHOD"
"31","SCRUM IMPLEMENTATION TO EFFECTIVE RE-WORKING OF TRAKTOR ID (CASE STUDY AT MITRA KONTRAKTOR SEJAHTERA)"
"32","EVALUATION OF TRAKCARE INFORMATION SYSTEM USING DELONE-MCLEAN IS SUCCESS MODEL FRAMEWORK AT XYZ HOSPITAL"
"33","PERFORMANCE OF NEWS CLUSTERING WITH ANT COLONY OPTIMIZATION"
"34","DETERMINING FOR FACTORS AFFECTING CUSTOMER CHURN IN THE TELECOMUNICATIONS BY CLASSIFIED METHODS"
"35","THE EFFECTS OF SERVICE QUALITY TOWARDS CUSTOMER SATISFACTION AND ITS IMPACTS TOWARDS CUSTOMER LOYALTY IN THE INTERNET SERVICE PROVIDER INDUSTRIES (CASE STUDY WHICH INVOLVES 3 OF THE MOST POPULAR FIXED BROADBAND ISPs ACCORDING TO THE 2018 PHASE 1 TOP BRAND AWARD IN JABODETABEK AND BANTEN)"
"36","""THE IMPLEMENTATION OF CROWDFUNDING AS A SOLUTION FOR PROVIDING EASY, TRUST AND TRANSPARANCY IN DIGITAL DONATION"""
"37","THE DETERMINANTS OF EQUITY VALUATION: EVIDENCE FROM LISTED COMPANIES IN STOCK EXCHANGE"
"38","ANALYSIS WORK SAFETY CLIMATE USING METHOD NOSACQ-50"
"39","""THE IMPACT OF PERCEIVED VALUE, CONNECTION QUALITY AND SERVICE QUALITY TOWARD SATISFACTION THAT AFFECT TO LOYALTY FOR INDIHOME CUSTOMER"""
"40","MULTI BRAND USAGE CONSUMPTION IN COSMETIC PRODUCTS"
"41","WORLD WAR II NARRATIVE IN SHINN ASUKA IN MOBILE SUIT GUNDAM SEED DESTINY"
"42","TWITTER AS A MEDIA OF SELF DISCLOSURE (STUDY OF SIX COMMUNICATION DEPARTMENT UNIVERSITY STUDENTS IN JAKARTA)"
"43","ANALYSIS OF CONSTRUCTION FAILURE IN THE CONSTRUCTION PHASE BASED ON HYDROLOGICAL REVIEW OF DAM PROJECT"
"44","Analysis of Quantity Surveyor Calculations at the Briefing Stage (Pre Contract)"
"45","RENOVATION OF THE WAREHOUSE BUILDING OWNED BY KANTOR PERWAKILAN BANK INDONESIA CIREBON"
"46","Evaluation of Vertical Alignment Design on Rising Ramps in the Non-Toll Elevated Road Construction Project - Pluit By Pass, North Jakarta"
"47","Analysis of Total Productive Maintenance (TPM) Using The Overall Equipment Effectiveness (OEE) Method On Screw Press Machines at PT. Sultra Prima Lestari Palm Oil Mill"
"48","IMPLEMENTATION OF OCCUPATIONAL SAFETY AND HEALTH (K3) IN STRUCTURAL WORK IN THE CONSTRUCTION OF THE RICE GERMPLASM GENE BANK AND SEED CENTER"
"49","Comparative Analysis of Labor Productivity in Rebar Works Based on Indonesian PUPR Minister Regulation Number 1 in 2022 with Field Conditions on Asrama Pangalengan Construction Project"
"50","Study of Variation Order and Its Impact on Project Performance in Terms of Cost and Implementation Time in The Tenjoresmi Area Arrangement Project"
"51","COMPARISON OF CONSULTANT'S PLAN AND CONTRACTOR'S IMPLEMENTATION OF THE PANGKALAN BUN - KOTAWARINGIN LAMA ROAD IMPROVEMENT WORK"
"52","IMPLEMENTATION WORK OF FOUNDATION BUILDING FOR CHEMICAL CLO2 OKI PULP & PAPER MILLS SOUTH SUMATRA"
"53","Optimizing the Dry Bulk Terminal for Loading and Unloading Operational Activities at Belawan Port"
"54","Rigid Parking For Large Vehicles At KM 725 A Surabaya-Mojokerto Toll Road Section"
"55","FULNESS ANALYSIS OF PT MEGASURYA MAS PLTS ELECTRIC POWER INSTALLATION WITH A CAPACITY OF 376.2 kWp USING ETAP 20.6 SOFTWARE"
"56","INSPECTION AND TESTING OF ELECTRICAL POWER INSTALLATIONS AT PLTD PT GRAMEDIA ASRI MEDIA TANGERANG BASED ON THE REGULATION OF THE MINISTER OF ESDM NUMBER 12 YEAR 2021"
"57","Optimizing the Ore Mined in Critical Areas at Antam Pongkor Underground Gold Mine using Customized Drilling and Blasting Pattern Methods"
"58","ANALYSIS OF INSUFFICIENT DESTINATION RESOURCES VOIP RIBBON ANALYTICS DISRUPTIONS AT PT XYZ"
"59","Implementation of Green Construction in The Mother and Child Respiratory Health Building Construction Project at Persahabatan Hospital â€“ Jakarta"
"60","Implementation of the four eyes principle at persahabatan hospital project in east jakarta"
"61","FEASIBILITY STUDY OF PROCUREMENT OF B3 WASTE PROCESSING FACILITIES FROM HEALTH FACILITIES IN EAST NUSA TENGGARA PROVINCE"
"62","Designing a Coal Gas Booster for the Alumina Plant Needs of PT Borneo Alumina Indonesia."
"63","Evaluation of Winning War Room Platform Implementation on Tender Process in PT. X"
"64","ANALYSIS OF THE EFFECTIVENESS OF HAZARDOUS AND TOXIC WASTE TREATMENT INDUSTRY WITH OVERALL EQUIPMENT EFFECTIVENESS (OEE) METHOD AND SIX BIG LOSSES (CASE STUDY AT PT GRAHA ALAM INDUSTRI)"
"65","Evaluation of the Quality of Reinforcement Concrete Structures on the Sunny Apartment II Project"
"66","Construction Management in the Construction of Roads and Bridges for the Malifut-Ngoali-Tolabit Section in North Halmahera, North Maluku Province"
"67","PROCESSING INSTALLATION SYSTEM EVALUATION WASTE WATER IN NICKEL MINING"
"68","Realibility Building of Sleman Stadium For Function Standard Certificate"
"69","Evaluation of Monthly Coal Mine Progress Based on the Joint Survey Method at PT Insani Baraperkasa"
"70","INSPECTION OF THE CONDITION OF THE MAGUWOHARJO STADIUM STRUCTURE, SLEMAN DISTRIC"
"71","Implementation of HSSE 4.0 Main Rules Observation Reporting Program (PATUH) Critical Process Observation at PT Pertamina Patra Niaga Soekarno Hatta Fuel Terminal & Hydrant Installation (SHAFTHI)"
"72","Analysis Of Failure Of Stainless Steel 304 Material At Bottom Nozzle Dryer In The Drying Process Of PVC UT-3201-1 PT. Asahimas Chemical"
"73","UPS SYSTEM DESIGN AT EGDECONNEX DATA CENTER WITH 2N UPS 48VDC SPECIFICATION TO IMPROVE DATA CENTER QUALITY"
"74","RISK ANALYSIS OF DELAY IN FITTING OUT OF AEON MALL DELTAMAS CONSTRUCTION PROJECT"
"75","Wharf Rehabilitation Design of Anggrek Port, Gorontalo Province"
"76","Photo Map Work Using a Fix Wings Unmanned Aerial Vehicle (UAV): Case Study of the Complete Systematic Land Mapping (PTSL) Project in the Land Office Area of Nagan Raya District, Aceh Province"
"77","Designing an Early Warning System for Detection of Drowsy Drivers with Raspberry Pi"
"78","Analysis Efficiency Cost and Time of Conventional Concrete Floor Slabs with Bondek Floor Slabs"
"79","Design Of The Lower Structure Against Column Displacement in The Bukit Permata Batam Residential Project Building."
"80","MICROCLIMATE CONTROL ON STRAWBERRY PRODUCTION WITH HYDROPONICS SYSTEM IN INDOOR VERTICAL FARMING (Case study about indoor vertical farming project in UNS Farms in 2023)"
"81","Installation & fabrication double jacket pipe for chocolate production in PT Indoagri Daito Cacao"
"82","PRODUCTIVITY ANALYSIS OF OIL WHARF STRUCTURE REPAIR BASED ON APPSHEET APPLICATION"
"83","THE INFLUENCE OF MOBILE BANKING SERVICES ON FINANCIAL PLANNING THROUGH THE ATTITUDES OF MILLENNIAL GENERATION IN KAMPAR DISTRICT"
"84","THE INFLUENCE OF TAX AGGRESSIVENESS, CAPITAL STRUCTURE, AND COMPANY SIZE ON FIRM VALUE WITH CORPORATE SOCIAL RESPONSIBILITY (CSR) AS A MODERATOR: AN EMPIRICAL STUDY ON CONSUMER CYCLICALS COMPANIES LISTED ON THE IDX FOR THE PERIOD 2020-2022"
"85","ANALYSIS OF THE USE OF THE TAM MODEL ON ALLOBANK DIGITAL BANK RECEIPTS IN THE JABODETABEK AREA"
"86","ANALYSIS OF THE USE OF THE TAM MODEL ON ALLOBANK DIGITAL BANK RECEIPTS IN THE JABODETABEK AREA"
"87","THE EFFECT OF GOOD CORPORATE GOVERNANCE AND PROFITABILITY ON FINANCIAL DISTRESS OF INFRASTRUCTURE SECTOR COMPANIES LISTED ON THE INDONESIA STOCK EXCHANGE (IDX) FOR THE PERIOD 2020-2022"
"88","THE INFLUENCE OF MOBILE BANKING SERVICES ON FINANCIAL PLANNING THROUGH THE ATTITUDES OF MILLENNIAL GENERATION IN KAMPAR DISTRICT"
"89","THE EFFECT OF FINANCIAL PERFORMANCE AND SUSTAINABILITY PERFORMANCE ON COMPANY VALUE (STUDY FROM MANUFACTURING COMPANIES LISTED ON THE INDONESIAN STOCK EXCHANGE 2019-2022)"
"90","THE INFLUENCE OF TAX AGGRESSIVENESS, CAPITAL STRUCTURE, AND COMPANY SIZE ON FIRM VALUE WITH CORPORATE SOCIAL RESPONSIBILITY (CSR) AS A MODERATOR: AN EMPIRICAL STUDY ON CONSUMER CYCLICALS COMPANIES LISTED ON THE IDX FOR THE PERIOD 2020-2022"
"91","THE INFLUENCE OF A CFO WITH AN ACCOUNTANT BACKGROUND AND CORPORATE GOVERNANCE ON THE AUDIT REPORT LAG OF MANUFACTURING SECTOR COMPANIES LISTED ON THE BEI FOR THE PERIOD 2020-2022"
"92","ANALYSIS OF ACCURATE 5 DESKTOP ACCOUNTING SOFTWARE IMPLEMENTATION USING THE UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY (UTAUT) MODEL"
"93","EVALUATION THE IMPLEMENTATION OF THE E-BUPOT UNIFIKASI WEB SYSTEM ON TAX COMPLIANCE USING THE UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY (UTAUT) MODEL FOR TAXPAYERS IN JAVA"
"94","THE INFLUENCE OF TAXPAYER AWARENESS, USE OF THE E-FILING SYSTEM, TAX KNOWLEDGE, AND TAX SANCTIONS ON INDIVIDUAL TAXPAYER COMPLIANCE"
"95","THE EFFECT OF GOOD CORPORATE GOVERNANCE AND PROFITABILITY ON FINANCIAL DISTRESS OF INFRASTRUCTURE SECTOR COMPANIES LISTED ON THE INDONESIA STOCK EXCHANGE (IDX) FOR THE PERIOD 2020-2022"
"96","THE INFLUENCE OF TAXPAYER AWARENESS, USE OF THE E-FILING SYSTEM, TAX KNOWLEDGE, AND TAX SANCTIONS ON INDIVIDUAL TAXPAYER COMPLIANCE"
"97","THE INFLUENCE OF CSR, FINANCIAL DERIVATIVES AND TRANSFER PRICING ON TAX AVOIDANCE IN COMPANIES LISTED ON THE INDONESIAN STOCK EXCHANGE (BEI)"
"98","THE INFLUENCE OF SOFTWARE INFORMATION TECHNOLOGY, EASE OF USE OF ACCOUNTING INFORMATION SYSTEMS, AND END USER ASSURANCE CAPABILITY ON THE QUALITY OF ACCOUNTING REPORTS AT PT. ANGKASA PURA SUPPORT"
"99","THE INFLUENCE OF A CFO WITH AN ACCOUNTANT BACKGROUND AND CORPORATE GOVERNANCE ON THE AUDIT REPORT LAG OF MANUFACTURING SECTOR COMPANIES LISTED ON THE BEI FOR THE PERIOD 2020-2022"
"100","THE EFFECT OF IMPLEMENTING GREEN ACCOUNTING AND ESG ON TAX AVOIDANCE WITH PROFITABILITY AND BUSINESS SIZE AS CONTROL VARIABLES IN COMPANIES LISTED ON THE BEI"
"101","THE EFFECT OF CORPORATE SOCIAL RESPONSIBILITY AND CORPORATE GOVERNANCE ON FINANCIAL DISTRESS IN BANKING COMPANIES LISTED ON THE INDONESIAN STOCK EXCHANGE (IDX) 2020-2022"
"102","THE EFFECT OF FINANCIAL PERFORMANCE AND SUSTAINABILITY PERFORMANCE ON COMPANY VALUE (STUDY FROM MANUFACTURING COMPANIES LISTED ON THE INDONESIAN STOCK EXCHANGE 2019-2022)"
"103","EVALUATION THE IMPLEMENTATION OF THE E-BUPOT UNIFIKASI WEB SYSTEM ON TAX COMPLIANCE USING THE UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY (UTAUT) MODEL FOR TAXPAYERS IN JAVA"
"104","THE INFLUENCE OF RUMOUR, PUBLIC OPINION AND MARKET SENTIMENT ON INVESTMENT DECISIONS OF GENERATION Z"
"105","THE EFFECT OF TAXATION UNDERSTANDING, TAX CALCULATION UNDERSTANDING, EDUCATIONAL BACKGROUND, AND PERFORMANCE BENEFITS ON TAXPAYER COMPLIANCE OF CIVIL SERVANT (SURVEY STUDY AT NATIONAL LAW DEVELOPMENT AGENCY OF THE MINISTRY OF LAW AND HUMAN RIGHTS)"
"106","ANALYSIS OF DEBT DIVERSIFICATION, CORPORATE SOCIAL RESPONSIBILITY, AND FIRM SIZE ON FIRM VALUE IN INDUSTRY COMPANIES FOR THE 2020-2022"
"107","ANALYSIS OF DEBT DIVERSIFICATION, CORPORATE SOCIAL RESPONSIBILITY, AND FIRM SIZE ON FIRM VALUE IN INDUSTRY COMPANIES FOR THE 2020-2022"
"108","THE INFLUENCE OF RUMOUR, PUBLIC OPINION AND MARKET SENTIMENT ON INVESTMENT DECISIONS OF GENERATION Z"
"109","OPTIMIZATION SAND CONTROL FOR MATURE OIL AND GAS FIELD USING ANALYTICAL HIERARCHY PROCESS (AHP) AT PT XYZ"
"110","DESIGN OF CUSTOMER MODULE TOUR TRAVEL APPLICATION (CASE STUDY: PT FAUZI HAYA TOUR TRAVEL)"
"111","THE INFLUENCE OF HUMAN RESOURCE MANAGEMENT PRACTICE ON JOB SATISFACTION, WORK MOTIVATION, AND EMPLOYEE PERFORMANCE AT PT PLN (PERSERO) UP3 MEULABOH"
"112","DESIGNING OF IPB CONNECT INFORMATION SYSTEM FOR ALUMNI WITH SCRUM METHOD AT IPB UNIVERSITY"
"113","THE INFLUENCE OF TRANSFORMATIONAL LEADERSHIP STYLE AND WORK ENGAGEMENT ON THE JOB PERFORMANCE OF THE MILLENNIAL EMPLOYEE"
"114","DESIGNING OF IPB CONNECT INFORMATION SYSTEM FOR ALUMNI WITH SCRUM METHOD AT IPB UNIVERSITY"
"115","OPTIMIZING THE FEASIBILITY OF A CARGO SHIP THROUGHT SIDEBOARD DESIGN MODIFICATIONS TO PREVENT ACCIDENTS IN MANDIODO, SOUTHEAST SULAWESI"
"116","DESIGNING OF IPB CONNECT INFORMATION SYSTEM FOR ALUMNI WITH SCRUM METHOD AT IPB UNIVERSITY"
"117","USER EXPERIENCE ANALYSIS ON THE MADRASAH DIGITAL REPORT CARD WEBSITE APPLICATION AT MTSS ASSA'ADAH CICURUG"
"118","ERGONOMIC RISK ANALYSIS FOR CORE BOX HANDLING ACTIVITIES IN CORESHED CREW WORKERS USING THE NBM, REBA, HIRADC METHODS AT PT SHS"
"119","USER-GENERATED CONTENT BY THE BEAUTY INFLUENCER AND ITS IMPACT ON E-WOM AND PURCHASE INTENTIONS"
"120","DESIGN OF CUSTOMER MODULE TOUR TRAVEL APPLICATION (CASE STUDY: PT FAUZI HAYA TOUR TRAVEL)"
"121","THE ROLE OF INFLUENCERS IN PURCHASE INTENTIONS FOR LOCAL FASHION PRODUCTS USING THEORY OF PLANNED BEHAVIOR (TPB)"
"122","SELECTION OF RAW MATERIAL SUPPLIERS FOR RAW MATERIAL PACKING AT PT. MAJU MAKMUR UTOMO - METHOD : AHP AND GEOMETRIC MEAN"
"123","USER-GENERATED CONTENT BY THE BEAUTY INFLUENCER AND ITS IMPACT ON E-WOM AND PURCHASE INTENTIONS"
"124","THE INFLUENCE OF EMPLOYEE MOTIVATION, EMPLOYEE SATISFACTION, EMPLOYEE ENGAGEMENT ON EMPLOYEE WORK PERFORMANCE IN PRIVATE BANKING EMPLOYEES IN INDONESIA"
"125","THE EFFECT OF PROFITABILITY, LEVERAGE, COMPANY SIZE, AND AUDITORS REPUTATION ON AUDIT REPORT LAG (EMPIRICAL STUDY OF CONSUMER CYCLICALS COMPANIES LISTED ON IDX 2020-2022)"
"126","ANALYSIS OF CUSTOMS CLEARANCE VENDOR PERFORMANCE USE ANALYTICAL HIERARCHY PROCESS IN PT MARUZEN SAMUDERA TAIHEIYO"
"127","EVALUATION OF OEE PERFORMANCE ON SHRINK TUBE MACHINE MC.06 USING DMAIC METHOD AT PT. XYZ, CIBITUNG"
"128","AUTOMATIC PRESENTATION MATERIAL GENERATION APPLICATION USING GENERATIVE PRETRAINED TRANSFORMER 3 AND TEXT TO SPEECH"
"129","ENHANCING OPERATIONAL EFFICIENCY IN ENERGY MONITORING AND CONTROL: A FUZZY LOGIC APPROACH AT PT. AKEBONO BRAKE ASTRA INDONESIA"
"130","AUTOMATIC PRESENTATION MATERIAL GENERATION APPLICATION USING GENERATIVE PRETRAINED TRANSFORMER 3 AND TEXT TO SPEECH"
"131","THE EFFECT OF TOTAL QUALITY MANAGEMENT AND SUPPLY CHAIN INTEGRATION ON COAL PRODUCTION OPERATIONAL PERFORMANCEAT PT. PAMAPERSADA NUSANTARA, EAST KALIMANTAN"
"132","SYSTEM DESIGN OF RECORDS MAINTENANCE HYDRAULIC PRESS MACHINE APPLICATION IN PT. DASA WINDU AGUNG HEADLINING PRODUCTION LINE"
"133","ANALYSIS OF STRESS LEVEL OF CONSTRUCTION SERVICE EMPLOYEES USING PDCA AND FMEA IN JAKARTA"
"134","AUTOMATIC PRESENTATION MATERIAL GENERATION APPLICATION USING GENERATIVE PRETRAINED TRANSFORMER 3 AND TEXT TO SPEECH"
"135","USER EXPERIENCE ANALYSIS OF PT BANK XYZ BANKING APPLICATION USING USER EXPERIENCE QUESTIONNAIRE (UEQ) AND THINK ALOUD"
"136","USABILITY WEBSITE ANALYSIS OF SEDUDO NGANJUK USING USER EXPERIENCE QUESTIONNAIRE"
"137","ANALYSIS OF PRINT LAYOUT DESIGN FOR STANDING POUCH PACKAGING TO MINIMIZE PRODUCTION WASTE IN THE FLEXIBLE PACKAGING INDUSTRY"
"138","RISK MANAGEMENT DESIGN FOR CONTROLLING QUALITY USING FMEA, RCA, MTTF, MTTR, AND PICA METHOD AT PT. XYZ"
"139","THE INFLUENCE OF TRANSFORMATIONAL LEADERSHIP STYLE AND WORK ENGAGEMENT ON THE JOB PERFORMANCE OF THE MILLENNIAL EMPLOYEE"
"140","ANALYSIS OF THE EFFECT OF QUALITY SERVICE, PROMOTION AND BRAND IMAGE ON LOYALTY OF GENERATION Z IN USING THE OVO DIGITAL WALLET AS A PAYMENT METHOD AND TECHNIQUE"
"141","ANALYSIS OF THE INFLUENCE OF SERVICES QUALITY, SECURITY, AND PROMOTION ON CUSTOMER SATISFACTION (STUDY OF MILLENIAL GENERATION E-WALLET USERS)"
"142","ANALYSIS OF THE INFLUENCE OF DIGITALIZATION, SOCIAL MEDIA, AND CORPORATE BRANDING ON PROPERTY PURCHASE DECISIONS BY MILLENNIALS AND GEN Z IN WEST JAKARTA"
"143","ANALYSIS OF PT PESONNA OPTIMA JASA'S MARKETING PLANNING TO IMPROVING COMPANY PERFORMANCE"
"144","EFFECTIVENESS OF E-TRAINING, E-LEADERSHIP, AND WORK-LIFE BALANCE ON EMPLOYEE PERFORMANCE AT PT KAYU PERMATA"
"145","USER-GENERATED CONTENT BY THE BEAUTY INFLUENCER AND ITS IMPACT ON E-WOM AND PURCHASE INTENTIONS"
"146","ANALYSIS AND DESIGN OF VILLAGERS SERVICE INFORMATION SYSTEMS IN SUMBEREJO VILLAGE, BESUKI DISTRICT, SITUBONDO REGENCY"
"147","ANALYSIS OF SIX BIG LOSSES BY USING MEASUREMENT AND ANALYSIS OEE"
