"thesis_id","thesis_topic_in_english"
"403","THE INFLUENCE OF PERCEIVED INFLUENCE, SOCIAL MEDIA MARKETING ACTIVITIES, BRAND ENGAGEMENT IN SELF CONCEPT, AND BRAND EXPECTED VALUE ON INTENTION TO PURCHASE LOCAL SKINCARE PRODUCTS"
"404","PERFORMANCE ANALYSIS ON THE CHF 2 LOAD-OUT LINE AT PT. BUKIT ASAM, TBK USING DMAIC AND FMEA METHODS"
"405","THE EFFECT OF PERCEIVED EASE OF USE, PERCEIVED USEFULNESS AND PERCEIVED TRUST USING QRIS AS A DIGITAL PAYMENT ON CONSUMPTIVE BEHAVIOR OF GENERATION Z IN MAGELANG"
"406","ANALYSIS OF THE EFFECT OF EASY NON CASH PAYMENTS (E-WALLET) AND LIFESTYLE ON BEHAVIOR STUDENT CONSUMPTIVE (CASE STUDY OF STUDENTS AT SRIWIJAYA STATE POLYTECHNIC)"
"407","WEB-BASED MONITORING AND EVALUATION SYSTEM DESIGN FOR PERFORMANCE ACHIEVEMENTS IN THE FACULTY OF PSYCHOLOGY UNIVERSITAS INDONESIA"
"408","ANALYSIS OF THE INFLUENCE OF SERVICES QUALITY, SECURITY, AND PROMOTION ON CUSTOMER SATISFACTION (STUDY OF MILLENIAL GENERATION E-WALLET USERS)"
"409","EFFECT OF TAX AWARENESS, TAX SANCTIONS AND QUALITY OF TAX AUTHORITIES SERVICES ON TAXPAYER COMPLIANCE"
"410","ANALYSIS OF CUSTOMER SATISFACTION ON THE QUALITY OF LOGISTICS SERVICES PT. XYZ YOGYAKARTA BRANCH USING THE SERVQUAL AND IPA METHODS"
"411","WEB-BASED PORTAL APPLICATION TO SUPPORT VILLAGE SERVICE ACTIVITIES AND INFORMATION CENTER"
"412","ANALYSIS THE INFLUENCE OF USER-GENERATED CONTENT ON PURCHASING DECISIONS AMONG METROSEXUALS"
"413","DEVELOPMENT OF A WEB APPLICATION SHOWCASING STUDENT SCIENTIFIC LITERATURES"
"414","DESIGN OF WEB BASED PERMIT TO WORK INTEGRATION SYSTEM WITH PUSH NOTIFICATION CASE STUDY PT PLN NUSANTARA POWER UP PACITAN"
"415","THE INFLUENCE OF SALES PROMOTION, ATTRACTIVENESS OF INTERNET ADVERTISING, AND APPS QUALITY FEATURES ON IMPULSE BUYING DECISIONS FOR BATIK FASHION PRODUCTS AT TIKTOK SHOP IN THE JABODETABEK AREA"
"416","APPLICATION OF THE METODE DMAIC FOR ANNUAL SHUTDOWN ON YORK BRAND CENTRIFUGAL CHILLER AT PT. UNILEVER INDONESIA, TBK"
"417","BALANCE DIET RECOMENDATION SYSTEM USING FUZZY LOGIC"
"418","DESIGN OF CUSTOMER SERVICE OPERATIONAL TICKETING SYSTEM AT PT. TELEMEDIA DINAMIKA SARANA"
"419","THE INFLUENCE OF THE USE OF SOCIAL MEDIA AND EWOM ON CONVICTION AND ITS IMPACT ON CUSTOMER LOYALTY AND PURCHASE INTENTION IN THE FASHION INDUSTRY WITH BRAND REPUTATION AS A MODERATION VARIABLE"
"420","IMPLEMENTATION OF RECONCILIATION AND PAYMENT MANAGEMENT OF THIRD-PARTY FUNDS FOR BALANCE ADDITIONS AND BILL PAYMENTS VIA BANK"
"421","UX EVALUATION OF NATIONAL SOCIAL SECURITY AGENCY FOR EMPLOYMENT USING USER EXPERIENCE QUESTIONNAIRE AND HEURISTIC EVALUATION"
"422","WEB-BASED PORTAL APPLICATION TO SUPPORT VILLAGE SERVICE ACTIVITIES AND INFORMATION CENTER"
"423","THE INFLUENCE OF SOCIAL MEDIA USE CHARACTERISTICS ON E-WOM, BRAND TRUST, AND BRAND EQUITY_ FOCUSING ON AIRLINE SOCIAL MEDIA USERS"
"424","ANALYSIS OF FACTORS AFFECTING PUBLIC INTEREST IN FINANCIAL TECHNOLOGY USING THE UTAUT METHOD (UNIFIED THEORY OF ACCEPTANCE AND USE OF TECHNOLOGY) (CASE STUDY: M-BANKING USERS IN CENTRAL KALIMANTAN)"
"425","THE INFLUENCE OF PERCEIVED INFLUENCE, SOCIAL MEDIA MARKETING ACTIVITIES, BRAND ENGAGEMENT IN SELF CONCEPT, AND BRAND EXPECTED VALUE ON INTENTION TO PURCHASE LOCAL SKINCARE PRODUCTS"
"426","ANALYSIS OF ONLINE IMPULSIVE BUYING IN E-COMMERCE LIVE STREAMING BASED ON S-O-R FRAMEWORK"
"427","ANALYSIS OF WEBSITE BASED QR CODE READER APPLICATION DESIGN AT PERUM PERHUTANI"
"428","THE INFLUENCE OF KNOWLEDGE OF SAK EMKM, TOP MANAGEMENT SUPPORT, FACILITATING CONDITIONS, EFFORT EXPECTATANCY ON INTEREST IN USING E-ACCOUNTING (E-BLANGKON CENTRAL JAVA)"
"429","INFLUENCE OF ELECTRONIC WORD OF MOUTH (EWOM) ON PURCHASE INTENTION AND IMPACT ON INDIHOME CUSTOMER LOYALTY IN JAKARTA"
"430","ANALYSIS AND DESIGN OF A WEB-BASED TRACER STUDY INFORMATION SYSTEM WITH ASP.NET CORE FRAMEWORK"
"431","ENHANCING OPERATIONAL EFFICIENCY IN ENERGY MONITORING AND CONTROL: A FUZZY LOGIC APPROACH AT PT. AKEBONO BRAKE ASTRA INDONESIA"
"432","THE INFLUENCE OF HUMAN RESOURCE MANAGEMENT PRACTICE ON JOB SATISFACTION, WORK MOTIVATION, AND EMPLOYEE PERFORMANCE AT PT PLN (PERSERO) UP3 MEULABOH"
"433","THE IMPACT OF EARNINGS MANAGEMENT, WORKING CAPITAL, FINANCIAL DISTRESS AND INFLATION ON FINANCIAL PERFORMANCE OF CONSUMER NON-CYCLICALS SECTOR COMPANIES (FOCUS: FOOD AND BEVERAGE) LISTED IN THE INDONESIAN STOCK EXCHANGE FROM 2020 TO 2022"
"434","FACTORS AFFECTING DIVIDEND POLICY IN MINING COMPANIES ON THE INDONESIA STOCK EXCHANGE"
"435","ANALYSIS AND INFORMATION SYSTEM DESIGN REPORT ALERT SERVER AT PT. RINTIS SEJAHTERA"
"436","BIG DATA IMPLEMENTATION EFFECT ON FINANCIAL DECISION-MAKING QUALITY"
"437","PHYSICAL WORKLOAD ANALYSIS ON MANUAL MATERIAL HANDLING ACTIVITIES USING NIOSH AND ERGONOMIC METHODS AT PT PLN NUSANTARA POWER"
"438","THE EFFECT OF FINANCIAL RATIO ON PROFIT GROWTH WITH COMPANY SIZE AS A MODERATION VARIABLE IN HEALTHCARE SECTOR COMPANIES LISTED ON THE INDONESIAN STOCK EXCHANGE (IDX) BEFORE AND DURING THE COVID-19 PANDEMIC IN THE 2017-2022 PERIOD"
"439","SUSTAINABLE EARNINGS DYNAMICS: AN ANALYSIS OF INFLUENTIAL FACTORS ON EARNINGS QUALITY IN THE TRANSPORTATION SECTOR OF THE INDONESIA STOCK EXCHANGE"
"440","ANALYSIS AND DESIGN OF FIBER OPTIC CABLE TRACKING SYSTEM FOR DETERMINING THE FASTEST ROUTE USING ALGORITHM DIJKSTRA IN NETWORK INTERFERENCE"
"441","ANALYSIS OF STRESS LEVEL, EFFECTIVENESS OF WORK ENVIRONMENT, AND JOB SATISFACTION TO REDUCE EMPLOYEE TURNOVER RATE AT PT XYZ"
"442","ANALYSIS OF WEBSITE BASED QR CODE READER APPLICATION DESIGN AT PERUM PERHUTANI"
"443","DESIGN OF RINSING PROCESS JIG TO INCREASE PRODUCTION OF PLASTIC COMPONENT PAINTING BY RULA METHOD AT PT XYZ"
"444","INFLUENCE OF ELECTRONIC WORD OF MOUTH (EWOM) ON PURCHASE INTENTION AND IMPACT ON INDIHOME CUSTOMER LOYALTY IN JAKARTA"
"445","THE INFLUENCE OF THE USE OF SOCIAL MEDIA AND EWOM ON CONVICTION AND ITS IMPACT ON CUSTOMER LOYALTY AND PURCHASE INTENTION IN THE FASHION INDUSTRY WITH BRAND REPUTATION AS A MODERATION VARIABLE"
"446","ANALYSIS OF THE EFFECT INTELLECTUAL CAPITAL ON FINANCIAL PERFORMANCE"
"447","THE INFLUENCE OF WORK LIFE BALANCE AND JOB SATISFACTION ON THE PERFORMANCE OF EMPLOYEES WHO WORK FROM HOME"
"448","THE INFLUENCE OF HIERARCHICAL CULTURE AND MOTIVATION ON IMPROVING EMPLOYEE PERFORMANCE AT PT ANUGRAH MINERAL ENERGI LESTARI"
"449","ANALYSIS OF THE EFFECT OF EARNINGS MANAGEMENT, PROFITABILITY, SALES GROWTH, AND CORPORATE SOCIAL RESPONSIBILITY ON TAX AVOIDANCE IN PROPERTY AND REAL ESTATE COMPANIES LISTED ON THE INDONESIA STOCK EXCHANGE PERIOD 2020-2022"
"450","ANALYSIS OF CWB REMOVAL PROJECT TURN AROUND TIME DELAY ON C-130 AIRCRAFT AT PT. XYZ"
"451","DEVELOPMENT OF USER EXPERIENCE DESIGN FOR WEBSITE-BASED FOR MASTER DATA CUSTOMER, MONITORING KEY PERFORMANCE INDICATORS IN FINANCIAL PERSPECTIVE, AND CUSTOMER TRANSACTION RECORD IN BUSINESS-TO-BUSINESS TRANSACTIONS AT PT. B"
"452","ANALYSIS OF THE MODERATING EFFECT OF GENDER ON INTEREST IN USING ELECTRONIC PAYMENT TECHNOLOGY E-WALLET AMONG GEN-Z IN JABODETABEK"
"453","ANALYSIS OF THE MODERATING EFFECT OF GENDER ON INTEREST IN USING ELECTRONIC PAYMENT TECHNOLOGY E-WALLET AMONG GEN-Z IN JABODETABEK"
"454","ANALYSIS AND DESIGN OF A WEB-BASED TRACER STUDY INFORMATION SYSTEM WITH ASP.NET CORE FRAMEWORK"
"455","PERSONAL SHOPPING RECORD APPLICATION USING FLUTTER FRAMEWORK"
"456","ANALYSIS AND INFORMATION SYSTEM DESIGN REPORT ALERT SERVER AT PT. RINTIS SEJAHTERA"
"457","USABILITY WEBSITE ANALYSIS OF SEDUDO NGANJUK USING USER EXPERIENCE QUESTIONNAIRE"
"458","ANALYSIS AND DESIGN OF A WEB-BASED TRACER STUDY INFORMATION SYSTEM WITH ASP.NET CORE FRAMEWORK"
"459","THE EFFECT OF PROFITABILITY, LIQUIDITY, AND ENVIRONMENT PERFORMANCE ON CARBON EMISSION DISCLOSURE IN SRI-KEHATI INDEX COMPANIES LISTED ON THE INDONESIA STOCK EXCHANGE (IN 2018-2022)"
"460","SUSTAINABLE EARNINGS DYNAMICS: AN ANALYSIS OF INFLUENTIAL FACTORS ON EARNINGS QUALITY IN THE TRANSPORTATION SECTOR OF THE INDONESIA STOCK EXCHANGE"
"461","ANALYSIS OF INTERFERENCE HANDLING SERVICE QUALITY USING SERVQUAL, IPA, AND KANO METHOD (CASE STUDY AT PT PLN UP3 KENDARI)"
"462","ANALYSIS OF INTERFERENCE HANDLING SERVICE QUALITY USING SERVQUAL, IPA, AND KANO METHOD (CASE STUDY AT PT PLN UP3 KENDARI)"
"463","FACTORS THAT INFLUENCE THE DECISION TO PURCHASE HALAL COSMETIC PRODUCTS IN GEN Z"
"464","OPTIMIZING UPS FUEL CONTROL PERFORMANCE USING FMEA AND CBA METHODS AT PT. XYZ KARAWANG"
"465","DESIGN OF PERFUME PRODUCTION OPERATOR WORKSTATION USING JOB STRAIN INDEX AND QUICK EXPOSURE CHECK METHOD (CASE STUDY: PT GKB COSMETIC INDUSTRY)"
"466","LOCALIZATION OF CHILDPART TO ACHIEVE COST COMPETITIVENESS WITH THE TOYOTA BUSSINESS PRACTICE METHOD AT PT ASTRA DAIHATSU MOTOR"
"467","ANALYSIS OF INTERFERENCE HANDLING SERVICE QUALITY USING SERVQUAL, IPA, AND KANO METHOD (CASE STUDY AT PT PLN UP3 KENDARI)"
"468","THE INFLUENCE OF PRODUCT QUALITY, BRAND IMAGE, AND BRAND TRUST ON CUSTOMER SATISFACTION AND CUSTOMER LOYALTY ON THE CUSTOMER OF SPORT APPAREL IN SOUTH JAKARTA"
"469","ANALYSIS OF DEFECT AND IMPROVEMENT PROCESS IN THE SCREENING UNIT USING DMAIC METHOD AT PT. XYZ"
"470","PERSONAL SHOPPING RECORD APPLICATION USING FLUTTER FRAMEWORK"
"471","ANALYSIS OF USER EXPERIENCE ON ONLINE LOAN APPLICATIONS ON CONSUMER SHOPPING INTEREST"
"472","ANALYSIS AND DESIGN OF FIBER OPTIC CABLE TRACKING SYSTEM FOR DETERMINING THE FASTEST ROUTE USING ALGORITHM DIJKSTRA IN NETWORK INTERFERENCE"
"473","THE INFLUENCE OF HIERARCHICAL CULTURE AND MOTIVATION ON IMPROVING EMPLOYEE PERFORMANCE AT PT ANUGRAH MINERAL ENERGI LESTARI"
"474","ANALYSIS OF USER EXPERIENCE ON ONLINE LOAN APPLICATIONS ON CONSUMER SHOPPING INTEREST"
"475","ANALYSIS OF THE INFLUENCE OF SUSTAINABILITY REPORT AND ENVIROMENTAL, SOCIAL AND GOVERNANCE (ESG) DISCLOSURE ON COMPANY VALUE WITH PROFITABILITY AS A MODERATION VARIABLE IN ESG STAR LISTED COMPANIES"
"476","OPTIMIZING UPS FUEL CONTROL PERFORMANCE USING FMEA AND CBA METHODS AT PT. XYZ KARAWANG"
"477","ANALYSIS OF CONSUMER BUYING INTENTION FACTORS USING SEM-PLS TESTING METHOD"
"478","THE EFFECT OF RETURN OF ASSETS, LEVERAGE, AND FIRM SIZE ON TAX AVOIDANCE IN MANUFACTURING COMPANIES ON THE IDX IN 2020-2022"
"479","ANALYSIS FACTORS THAT INFLUENCE CUSTOMER PURCHASE INTENTION IN SOCIAL COMMERCE APPLICATIONS IN SURABAYA"
"480","THE IMPACT OF SOCIAL COMPARISON ON MATERIALISM, NEGATIVE EFFECT AND IMPULSIVE BUYING BEHAVIOUR OF E-COMMERCE CUSTOMERS IN JAWA TIMUR, WITH THE ROLE CONFIDENCE AS MODERATING VARIABLE"
"481","USER EXPERIENCE ANALYSIS ON MOBILE JKN SOCIAL HEALTH INSURANCE ADMINISTRATION BODY (BPJS) USING EYE TRACKING AND UX HONEYCOMB METHOD"
"482","THE INFLUENCE OF SALES PROMOTION, ATTRACTIVENESS OF INTERNET ADVERTISING, AND APPS QUALITY FEATURES ON IMPULSE BUYING DECISIONS FOR BATIK FASHION PRODUCTS AT TIKTOK SHOP IN THE JABODETABEK AREA"
"483","APPLICATION OF VALUE STREAM MAPPING ON WARRANTY CLAIM AFTER SALES SERVICE PROCESS AT PT ASTRA UD TRUCKS"
"484","THE EFFECT OF TAX INCENTIVES ON THE VALUE OF AUTOMOTIVE COMPANIES LISTED ON INDONESIA STOCK EXCHANGE"
"485","ANALYSIS OF USER EXPERIENCE ON THE SI KASEP APPLICATION USING THE USER EXPERIENCE QUESTIONNAIRE METHOD"
"486","USER EXPERIENCE (UX) ANALYSIS IN CUSTOMER REPORT FEATURE ON PLN MOBILE APPS USING USER EXPERIENCE QUESTIONNAIRE (UEQ) METHOD"
"487","ANALYSIS AND DESIGN OF COMPUTER NETWORKS FOR DECIPHERING TRAFFIC FLOW BY UTILIZING THE NETWORK MONITORING SYSTEM AT PT TD AUTOMOTIVE COMPRESSOR INDONESIA"
"488","FAILURE ANALYSIS OF SOURCE AIR GUN TO REDUCE POTENTIAL SHUTDOWN DURING OFFSHORE SEISMIC SURVEY USING FMEA"
"489","THE INFLUENCE OF HUMAN RESOURCE MANAGEMENT PRACTICE ON JOB SATISFACTION, WORK MOTIVATION, AND EMPLOYEE PERFORMANCE AT PT PLN (PERSERO) UP3 MEULABOH"
"490","THE IMPACT OF EARNINGS MANAGEMENT, WORKING CAPITAL, FINANCIAL DISTRESS AND INFLATION ON FINANCIAL PERFORMANCE OF CONSUMER NON-CYCLICALS SECTOR COMPANIES (FOCUS: FOOD AND BEVERAGE) LISTED IN THE INDONESIAN STOCK EXCHANGE FROM 2020 TO 2022"
"491","THE EFFECT OF IMPLEMENTATION PSAK 71, NON-PERFORMING LOAN (NPL) AND OPERATIONAL COSTS PER OPERATING INCOME (BOPO) ON PROFITABILITY IN BANKING COMPANY (CASE STUDIES ON BANKING COMPANIES REGISTERED AT INDONESIAN STOCK EXCHANGE (IDX) IN 2020-2022)"
"492","ANALYSIS AND DESIGN OF FIBER OPTIC CABLE TRACKING SYSTEM FOR DETERMINING THE FASTEST ROUTE USING ALGORITHM DIJKSTRA IN NETWORK INTERFERENCE"
"493","THE IMPACT OF SOCIAL COMPARISON ON MATERIALISM, NEGATIVE EFFECT AND IMPULSIVE BUYING BEHAVIOUR OF E-COMMERCE CUSTOMERS IN JAWA TIMUR, WITH THE ROLE CONFIDENCE AS MODERATING VARIABLE"
"494","ANALYSIS FACTORS THAT INFLUENCE CUSTOMER PURCHASE INTENTION IN SOCIAL COMMERCE APPLICATIONS IN SURABAYA"
"495","THE EFFECT OF RESEARCH AND DEVELOPMENT (RND) AND ENVIRONMENTAL COST ON INDONESIAN MANUFACTURING FIRM PERFORMANCE (PERIOD OF 2018-2022)"
"496","ANALYSIS OF FACTORS INFLUENCING THE ADOPTION OF DOCUMENT CONTROL SYSTEM (PMEN) IN PETROKIMIA GRESIK USING THE TECHNOLOGY ACCEPTANCE MODEL (TAM) AND DELONE MCLEAN MODEL"
"497","APPLICATION OF THE METODE DMAIC FOR ANNUAL SHUTDOWN ON YORK BRAND CENTRIFUGAL CHILLER AT PT. UNILEVER INDONESIA, TBK"
"498","THE INFLUENCE OF AFFILIATE CONTENT AND SOCIAL MEDIA ON PURCHASE INTENTION OF HOME APPLIANCES PRODUCTS IN THE TIKTOK APPLICATION MODERATED BY BRAND AWARENESS AND MEDIATED BY ATTITUDE TOWARD DIGITAL MARKETING"
"499","ANALYSIS OF LOCAL SKINCARE PRODUCT PACKAGING DESIGN TO INCREASE CONSUMER PURCHASING INTENTION."
"500","ANALYSIS OF ONLINE IMPULSIVE BUYING IN E-COMMERCE LIVE STREAMING BASED ON S-O-R FRAMEWORK"
"501","THE INFLUENCE OF E-SERVICE QUALITY ON CUSTOMER LOYALTY THROUGH CUSTOMER SATISFACTION (STUDY ON USERS OF THE GOFOOD APPLICATION AT THE WARUNG BU SRI PONDOK UNGU PERMAI RESTAURANT, NORTH BEKASI, WEST JAVA)"
"502","THE INFLUENCE OF SERVICE QUALITY, PRICE, TRUST AND BRAND IMAGE TO ONLINE PURCHASE DECISION OF SKINCARE PRODUCT ON E-COMMERCE IN SURABAYA"
"503","ANALYSIS OF INHOUSE DIRECT LABOR VS OUTSOURCING LABOR IN GLASS PACKAGING IN AUTOMOTIVE COMPANIES PT. XYZ-CIBITUNG"
"504","ANALYSIS OF FACTORS INFLUENCING THE ADOPTION OF DOCUMENT CONTROL SYSTEM (PMEN) IN PETROKIMIA GRESIK USING THE TECHNOLOGY ACCEPTANCE MODEL (TAM) AND DELONE MCLEAN MODEL"
"505","THE EFFECT OF LEVERAGE, PROFIT MANAGEMENT, AND DISCLOSURE OF CORPORATE SOCIAL RESPONBILITY ON TAX AGGRESSIVITY"
"506","THE INFLUENCE OF THE USE OF SOCIAL MEDIA AND EWOM ON CONVICTION AND ITS IMPACT ON CUSTOMER LOYALTY AND PURCHASE INTENTION IN THE FASHION INDUSTRY WITH BRAND REPUTATION AS A MODERATION VARIABLE"
"507","ANALYSIS OF THE MODERATING EFFECT OF GENDER ON INTEREST IN USING ELECTRONIC PAYMENT TECHNOLOGY E-WALLET AMONG GEN-Z IN JABODETABEK"
"508","THE INFLUENCE OF SOCIAL MEDIA USE CHARACTERISTICS ON E-WOM, BRAND TRUST, AND BRAND EQUITY_ FOCUSING ON AIRLINE SOCIAL MEDIA USERS"
"509","EFFECT OF TAX AWARENESS, TAX SANCTIONS AND QUALITY OF TAX AUTHORITIES SERVICES ON TAXPAYER COMPLIANCE"
"510","THE INFLUENCE OF WORK LIFE BALANCE AND JOB SATISFACTION ON THE PERFORMANCE OF EMPLOYEES WHO WORK FROM HOME"
"511","ANALYSIS OF THE INFLUENCE OF SUSTAINABILITY REPORT AND ENVIROMENTAL, SOCIAL AND GOVERNANCE (ESG) DISCLOSURE ON COMPANY VALUE WITH PROFITABILITY AS A MODERATION VARIABLE IN ESG STAR LISTED COMPANIES"
"512","THE INFLUENCE OF ARTIFICIAL INTELLIGENCE INTEGRATION ON EMPLOYEE PERFORMANCE AND WORK ENGAGEMENT IN THE BANKING SERVICE INDUSTRY IN JAKARTA: THE MODERATING ROLE OF LEADERSHIP CHANGE"
"513","ANALYSIS OF QUALITY ISSUES IN GLASS COMP DOOR PARTS IN THE AUTOMOTIVE INDUSTRY USING FAILURE MODE AND EFFECT ANALYSIS METHODE AND 4M CHANGE"
"514","INCREASING BRAND LOYALTY THROUGH THE TEMPO ONLINE COMMUNITY: THE USEFUL ROLE PROVIDED BY THE TEMPO SPORTS AND SCIENCE TECHNOLOGY COMMUNITY."
"515","FEASIBILITY STUDY ANALYSIS FOR DISTRIBUTION CENTER OR HUB EXPANSION PT MULTIDAYA TEKNOLOGI NUSANTARA IN REGION 4"
"516","THE ROLE OF WORD OF MOUTH IN MEDIATING PURCHASE DECISION MEDICAMENT THROUGH ONLINE HEALTH APPLICATIONS: A CASE STUDY IN MOBILE HEALTH APPLICATIONS"
"517","EFFECTS OF EARNINGS MANAGEMENT, LEVERAGE AND FIRM SIZE ON TAX AVOIDANCE OF INDUSTRIAL COMPANIES LISTED ON INDONESIA STOCK EXCHANGE (IDX) FOR PERIOD OF 2020"
"518","THE EFFECT OF IMPLEMENTATION PSAK 71, NON-PERFORMING LOAN (NPL) AND OPERATIONAL COSTS PER OPERATING INCOME (BOPO) ON PROFITABILITY IN BANKING COMPANY (CASE STUDIES ON BANKING COMPANIES REGISTERED AT INDONESIAN STOCK EXCHANGE (IDX) IN 2020-2022)"
"519","THE ROLE OF WORD OF MOUTH IN MEDIATING PURCHASE DECISION MEDICAMENT THROUGH ONLINE HEALTH APPLICATIONS: A CASE STUDY IN MOBILE HEALTH APPLICATIONS"
"520","UX EVALUATION OF NATIONAL SOCIAL SECURITY AGENCY FOR EMPLOYMENT USING USER EXPERIENCE QUESTIONNAIRE AND HEURISTIC EVALUATION"
